Reference, Value, Footprint, Datasheet
C1,0.47F,REInnovationFootprint:C_0_47F_SuperCap,
D1,1N5819,REInnovationFootprint:TH_Diode_1,
D2,RED,REInnovationFootprint:TH_LED-5MM_larg_pad_90degrees,
D3,WHITE,REInnovationFootprint:TH_LED-5MM_larg_pad_90degrees,
P1,SOLAR_V,matts_components:SIL-2_wide_lg_pad,
P2,LOGO1,CuriousElectric3:CEC_Globe_10mm_FCU,
P3,LOGO2,CuriousElectric3:TCEC_Words_13mm,
P4,PCB,REInnovationFootprint:PV_50x30mmEdgeCut,
P5,LOGO3,CuriousElectric3:TCEC_Words_13mm FCu,
R1,330,REInnovationFootprint:TH_Resistor_1,
R2,120,REInnovationFootprint:TH_Resistor_1,
SC1,PV_CELL,REInnovationFootprint:PV_50x30mm_NoOutline,
SW1,RED,REInnovationFootprint:TH_FRONT_SW,
SW2,WHITE,REInnovationFootprint:TH_FRONT_SW,
